가맹점명,서울페이앱분류업종,자치구명,기본주소
베이스먼트,음식점,영등포구,서울특별시 영등포구 은행로 3
딱따구리문구,문구/완구,성동구,"서울 성동구 왕십리로 211,"
수유대학약국,병원/약국,강북구,"서울 강북구 삼양로 431-1,"
리리카페,음식점,송파구,서울특별시 송파구 성내천로 233
진플러스치과,병원/약국,강동구,서울  강동구  강일동
창조기독교백화점,교육/서점,양천구,"서울 양천구 오목로 224,"
부산밀면,음식점,성동구,서울특별시 성동구 연무장5가길 7
케이비즈수학과학1관학원,교육/서점,강남구,서울특별시 강남구 삼성로57길 5
고척동 이태리,음식점,구로구,서울특별시 구로구 경인로47길 76
올포유,레저/스포츠,구로구,서울 구로구 구로동로 125-4
주식회사에이에이플레이스,의류/직물,마포구,서울특별시 마포구 홍익로 26
수락골,음식점,도봉구,"서울 도봉구 방학로3길 113,"
로이앤제이드,뷰티/미용,노원구,서울특별시 노원구 동일로 986
미각떡집,식품,송파구,"서울 송파구 마천로45길 43,"
한가네초밥,음식점,양천구,서울특별시 양천구 월정로 50
밥앤죽,음식점,성북구,"서울 성북구 화랑로13길 14,"
오감미술교습소,교육/서점,은평구,서울특별시 은평구 서오릉로17길 18-5
여의명품세탁소,생활,영등포구,"서울 영등포구 의사당대로 127,"
연세마음숲 아동발달센터,상담,서대문구,서울특별시 서대문구 응암로 54
연세제일내과의원,병원/약국,은평구,서울특별시 은평구 연서로32길 3
덕성온누리약국,병원/약국,성북구,"서울 성북구 아리랑로 89,"
수학공작소 수학교습소,교육/서점,강남구,서울특별시 강남구 선릉로72길 10
할매국수,음식점,종로구,서울 종로구 돈화문로4길 5
관악청담에이프릴어학원,교육/서점,관악구,서울특별시 관악구 양녕로 93
팍써2,패션/잡화,서초구,"서울 서초구 신반포로 200 ,"
김밥천국,음식점,금천구,"서울 금천구 두산로 70,"
리안헤어 잠실나루역점,뷰티/미용,송파구,"서울 송파구 올림픽로 435,"
김가네 홍제역점,음식점,서대문구,서울특별시 서대문구 세무서길 11
에슬로우 삼성점,제과점/커피,강남구,서울특별시 강남구 테헤란로81길 26
아비오가든,원예/농업,강서구,서울특별시 강서구 마곡동로4길 23
모모베리(MOMOBERRY),음식점,관악구,서울특별시 관악구 행운1길 56
순정족발,음식점,강남구,"서울 강남구 강남대로154길 25,"
충청선식,마트/슈퍼마켓,금천구,서울 금천구 금하로 650
위빙복싱클럽,레저/스포츠,강북구,서울특별시 강북구 솔샘로 223
아마(AMA),음식점,마포구,서울특별시 마포구 희우정로16길 46
삼성키즈소아청소년과의원,병원/약국,강남구,서울특별시 강남구 선릉로 26
곰돌소금구이,음식점,강서구,서울특별시 강서구 곰달래로 227
강남고려병원,병원/약국,관악구,"서울 관악구 관악로 242,"
김기덕참치,음식점,강북구,"서울 강북구 노해로8길 29,"
탑메디피부과의원,병원/약국,노원구,"서울 노원구 한글비석로 270,"
청와면옥,음식점,서대문구,서울 서대문구 응암로 94
이니스프리,뷰티/미용,강서구,서울특별시 강서구 화곡로 143
메디칼약국,병원/약국,노원구,"서울 노원구 동일로 1550,"
진주집 시골밥상,음식점,강남구,서울특별시 강남구 광평로 280
전설의옛날통닭,음식점,영등포구,"서울 영등포구 대방천로 165-13,"
프랭크버거 망원사거리점,음식점,마포구,서울특별시 마포구 월드컵로 103
명가젓갈,식품,동대문구,서울특별시 동대문구 고산자로36길 3
지니영어교습소,교육/서점,송파구,서울특별시 송파구 토성로 38
우의정한우전문점,음식점,영등포구,서울  영등포구  대림로  180
초원꽃집,원예/농업,중구,"서울 중구 퇴계로 217,"
두심독서논술교습소,교육/서점,영등포구,"서울 영등포구 여의대방로35가길 19,"
씨유염창1호점,마트/슈퍼마켓,강서구,"서울 강서구 양천로 713,"
고추마을,식품,마포구,"서울 마포구 월드컵로 235,"
파김치솥뚜껑생삼겹살,음식점,강북구,서울특별시 강북구 한천로 1059
코지카커피,제과점/커피,광진구,서울특별시 광진구 자양번영로4길 42-22
생각하는 아이들,교육/서점,구로구,서울특별시 구로구 고척로55길 25
강은경플라워샵,원예/농업,동작구,서울 동작구 사당로 178
정림슈퍼,마트/슈퍼마켓,관악구,서울  관악구  신림1동
어나더레벨(Another level),음식점,중구,서울특별시 중구 을지로12길 11
그레이프트리 어학놀이 학원,교육/서점,강동구,서울특별시 강동구 명일로 271
곰집,음식점,영등포구,서울특별시 영등포구 도신로60길 12
주식회사 어반필드,레저/스포츠,구로구,서울특별시 구로구 경인로 661
모도리 닭곰탕,음식점,송파구,서울특별시 송파구 오금로44길 50
골목족발,음식점,동대문구,서울특별시 동대문구 회기로26길 5
두레 닭강정,음식점,은평구,"서울 은평구 불광로 64,"
성모참플러스정형외과의원,병원/약국,영등포구,서울특별시 영등포구 선유로 63
포싸이,음식점,중랑구,서울특별시 중랑구 겸재로 185
씨유(CU) 중랑우정점,마트/슈퍼마켓,중랑구,서울특별시 중랑구 봉우재로19길 7
이사랑치과의원,병원/약국,중랑구,서울 중랑구 동일로 802
탑플러스마트,마트/슈퍼마켓,동작구,서울특별시 동작구 장승배기로 35
이지피티스튜디오,레저/스포츠,광진구,"서울 광진구 구의강변로 106,"
자작나무,음식점,강서구,서울특별시 강서구 화곡로44길 3
법문서적,교육/서점,관악구,"서울 관악구 신림로23길 16,"
올리비아로렌  금호점,레저/스포츠,성동구,서울  성동구  독서당로
드림디포 용산점(위드코리아),문구/완구,용산구,서울특별시 용산구 한강대로62나길 17
수산회관,음식점,동작구,"서울 동작구 노들로 688,"
성동보호작업장 본점,생활,성동구,"서울 성동구 청계천로 506,"
진이찬방성북종암점,식품,성북구,서울특별시 성북구 종암로21길 133
양재포차,음식점,서초구,"서울 서초구 남부순환로356길 15,"
(주)올댓씨앤에스(인연),음식점,금천구,서울특별시 금천구 가산디지털1로 225
원정하이퍼마트,마트/슈퍼마켓,중랑구,서울  중랑구  면목7동
365매일한방병원 동대문,병원/약국,동대문구,서울특별시 동대문구 천호대로 3
오반자이 시젠,음식점,송파구,서울특별시 송파구 삼전로9길 8
미트뱅크,식품,구로구,"서울 구로구 개봉로20길 158,"
문화  반점,음식점,성동구,"서울 성동구 광나루로 307,"
헤어프렌즈,뷰티/미용,도봉구,"서울 도봉구 방학로7길 8,"
GS25신림터널점,마트/슈퍼마켓,관악구,"서울 관악구 문성로 214,"
뚜레쥬르 금호힐스테이트점,제과점/커피,성동구,서울특별시 성동구 금호로 40
리치빈스,음식점,강남구,"서울 강남구 도산대로 158,"
회복되는공간 & 놀이터,뷰티/미용,용산구,"서울 용산구 대사관로11길 31,"
제운성형외과의원,병원/약국,관악구,"서울 관악구 남부순환로 1820,"
단수이대왕카스테라,제과점/커피,노원구,"서울 노원구 섬밭로 196 ,"
매일약국,병원/약국,용산구,서울특별시 용산구 백범로 313
행복한약국,병원/약국,노원구,"서울 노원구 공릉로 187,"
